position_id;auftrag_id;pos_nr;leistung;art;menge;einheit;einzelpreis_netto_eur;gesamtpreis_netto_eur
A-2026-0008-070;A-2026-0008;70;Wiedereinbau und Justage;lohn;4;Stk;165.0;660.0
A-2026-0008-080;A-2026-0008;80;Material Leinölfarbe, Kitt, Beschlagteile;material;1;psch;640.0;640.0
A-2026-0008-090;A-2026-0008;90;Anfahrt Überland;anfahrt;55.8;km;1.15;64.17
A-2026-0009-010;A-2026-0009;10;Störungsanalyse und Sicherheitsprüfung Torantrieb;lohn;2.0;h;77.0;154.0
A-2026-0009-020;A-2026-0009;20;Austausch Laufrollen komplett;material;10;Stk;34.5;345.0
A-2026-0009-030;A-2026-0009;30;Torsionsfeder erneuern inkl. Spannen;material;2;Stk;189.0;378.0
A-2026-0009-040;A-2026-0009;40;Montagearbeiten Tor und Antrieb;lohn;7.0;h;77.0;539.0
A-2026-0009-050;A-2026-0009;50;Prüfung nach DGUV Vorschrift 3 und ASR A1.7, Protokoll;lohn;1;psch;240.0;240.0
A-2026-0009-060;A-2026-0009;60;Anfahrtpauschale Stadtgebiet;anfahrt;2;psch;45.0;90.0
A-2026-0012-010;A-2026-0012;10;Unterkonstruktion CW/UW-Profile inkl. Montage;lohn;7.9;m2;32.0;252.8
A-2026-0012-020;A-2026-0012;20;Beplankung doppellagig beidseitig, GKB 12,5 mm;lohn;15.8;m2;28.5;450.3
A-2026-0012-030;A-2026-0012;30;Dämmung Mineralwolle 60 mm;material;7.9;m2;11.4;90.06
A-2026-0012-040;A-2026-0012;40;Türöffnung mit Aussteifung, 86 cm Rohbaumaß;lohn;1;psch;265.0;265.0
A-2026-0012-050;A-2026-0012;50;Fugen spachteln Q2, schleifen;lohn;15.8;m2;9.6;151.68
